945 1000
1 OEODITHGZELZHIAE 203
1 ZRZFGAHJXYMBVTJK 204
1 YRWHKNCHEOWFBWNH 205
1 RTDUFPMSGMKYHVBC 206
1 YVMJIMNKGQKJUCHM 207
2 UELETJJLKTYUFTQO 208 840
1 KNKPIGZMEMXNPDVI 209
1 SWPVVLZHZEBLRFZD 210
1 YUDVRQFFYGNFNZFJ 211
1 FEILJNDOKOAKCCBD 212
1 HAEYJPUMEDAWNJXJ 213
1 EHQECWPQPWZWWJQX 215
1 LGSKAQOMITLVVHUG 216
1 CPORICMYUIBADCAS 217
1 AXZYIPVOSKJGAPKV 218
1 PENRPEQAAOYCFMVL 219
1 ZSUDBCRSJYPKAIIC 220
2 ICREGZXTEKCGRIMX 221 748
1 YDNHBAKALARTIRFI 222
1 CYOJVTBWDVNNYGTM 223
1 UTPJHOENXTLNWEFQ 224
1 UADAEUYKHVGZLCRD 225
1 PUHDAVBKHBHVBTHK 226
1 KKZNFLEJXDNWXEPJ 227
1 KIOEABHFTYBNRBRE 228
1 QBPBURBRSDEBISXP 230
1 ECRUANOMUYVHXQOR 231
1 PQBJLSCVPPGCNXEV 232
1 YUUTENRBDZGUFKHV 233
1 VIDRFYNFDFUYYSZC 234
2 PIUBSJBXLETOFHVV 235 544
1 XUOYODRAREMOCTQE 236
1 SOJBBWWIUCGXFIXU 237
1 BQFMCIYVHJINHSLV 238
1 UINAKDWTYBYUBGUJ 239
1 FJQGEMOMNQKHCUWP 240
1 OZBKFKUUDHRFARCI 241
1 FXNYPITUICTDIEFQ 242
1 XXJECMNKURYZSCEM 243
1 JHWAKCJUMODTMZIR 244
1 VVCGTJFNTNRQJULY 245
1 FKYXNVCJHPWVXZKW 246
1 LOQTLJBVDEHHACCP 247
1 OEDLYNMAECFIBGWX 248
1 ROKUMVZBBFLGNSWB 249
1 IXVMWHMQCEFTUZGO 250
1 JPGWATLIGAXOAKRD 251
1 QNMNPAIIKYGCUGIV 252
1 KIRUBQMDARBTFJKP 253
1 GKVTUWNSUZTLRPJS 254
1 GZQKOAZCHUOBHQJV 255
1 JZFYHATCEUXGHYID 256
1 BAOSSXNUGWGPZEDA 257
1 QRTCSWUVKPQZZQYE 258
1 BNTYJTPYZLLTFJMP 259
1 SCKDMANGINVFXZRD 260
1 NNFXRJKGSAGQQHMZ 261
1 BQYUPBMTAAIMYIVO 262
1 DLQMDDFAWDYFUGVO 263
1 ROUARJBSNGWNZUGB 264
1 GFBUWMRVUQPDCPUI 265
1 ZFYVCRAWQGREPCEQ 266
1 IJUKVXLJJZGQEYVU 267
1 RPTZODVIWHLZLVTO 268
1 PRZBHRYXQNITYMLH 269
1 EJAVIOXMGRYNXTNH 270
1 JZJKSIUAZFCYVQWO 272
1 GGJUJCORMDKUQRSD 273
1 NWSLYNFWTVNFULSH 274
1 ZIRVFBQBJUXJLGHF 275
2 ALHJJNMIAJYDRFEV 276 328
1 LQIETNWVMMTUTMCE 277
1 UXEKXOANQELZZLOU 278
1 YULJWUBANGIUXWJY 279
1 IFEDAZUNKYPVEEAM 280
1 GLVQZVLQJVMNHWTG 281
1 UCEJOSTGVMKXAOQV 282
2 FCSOHTPWIDZVDHDO 283 584
1 WTOXHGMHPUXBQRMP 284
1 QQLGWVVFVKLTNBYM 285
1 VVSXUHQQFCRRXZOZ 286
1 NWCEEPLJAIFLKTDA 287
1 JXAPQDSFDPRPRUBI 288
1 LNCSQQRYQRURZLLV 289
1 YYUWEHPKEWLWGYLY 290
1 ANMBNKFLXRTLVDRK 291
1 HEKDPELTEMOWXPVT 292
1 OKCCCAGCBFBPTVUF 293
1 DNWPLORHESPCKJWR 294
1 HPWQNWEHFRHUTPFS 295
1 GTJNRJXTYMVDWNRT 296
1 YIJNNWLMGNRBYZEV 297
1 OVTBXHSMFMJFTWAJ 298
1 XIPYZGUROIGXGPQT 299
1 GWMYEMWGTBVOLKUJ 300
1 HMXLYLIVIZCSDXUR 301
1 QDETAUGKAGPUXQQM 302
1 BRTIWEWLBVUKWCPX 303
1 LBJHDRPTOVTEAKAX 304
1 VEANPLGRRYEVEFGE 305
1 LNTITPNOSVFMZDWB 306
1 NJSRRCGMMYBITDVZ 307
1 PCCPOPJOUILTQYEI 308
1 UHMZFIZJWXVVESCA 309
1 LQPLJJNVNHGPIMFM 310
1 OCPXDDHCYSLLZWCV 311
1 POONERELDFTUVOOM 312
1 INBMTLNJCUVBZYBE 313
1 FRGDIQNFPYIECQJC 314
1 RENPUISDQTQAXWZZ 315
1 ZZJESJIEZUPZEPJS 316
1 NJBPGEJEBFQMDSLJ 317
1 JODHOUDQQPLPUCHK 318
1 EHSXNSMVAVPYRMKU 319
1 GFEHSARREJIUYFDZ 320
1 RZXKKVZBJAEKNTXV 321
1 GIINSLYLHQZLAUGD 322
1 MWSDLBPZLMPYJZQC 323
1 AZXJDWIQBNXZANPF 324
1 OYMINFWCFSSFPNBK 325
1 YZWTELADCCBZJFNV 326
1 CAITATBNCRFFFDKP 327
1 PWIJTLOTILBJUWZR 329
1 GONNNOHZRHGYFFZE 330
1 EITOHCHMHGQXWOFG 331
1 DHLXBRVVOIORBZMZ 332
1 CJBZDJEWJPTUHIOL 333
1 TWEVOGCIRLAEKFRV 334
1 YSEJFONRIJJQKKLP 335
1 YWPSRDRSFTAZZXQB 336
1 XHADWNUCHZCCJUMT 337
1 FAOJRFUJTBUYEVID 338
1 MQCPYXKCZYEXCQTM 339
1 PJCCMTSISEMOQNCR 340
1 EVBXOINDVEUHWRGW 341
1 NPZGPKYMXYAHNZZS 342
1 AHUTPRODSPWAEMLG 343
1 FCVOZAZCJFXNVBEQ 344
1 COTWSNNJOBRBLJDF 345
1 XQYBZTBGQXVUQMYV 346
1 ZBSKCKOEFLHXIOWT 347
1 UDCNSLAZXERBLOBY 348
1 JTTUNXMCNGUJIGSZ 349
1 LBHHAVRVAGVHUGQE 350
1 WPYIQWSVBOUUZKNQ 351
1 MRJNIOVFVPOVYDTL 352
1 BXWIIZWKHIAUMXWX 353
1 EHOCOKAKYISMSOHK 354
1 XFVWKABSOGZJOIPJ 355
1 ZXBVGCMKDCCSBTEC 356
1 PXKUOPCQYWPBNXKY 357
1 OFKUPUEOKHVFQFPC 358
1 BZKVUSOHVTMXODVJ 359
1 HYXJVEGMDSEIGVQF 360
1 AVJTFZXOLNROXXVQ 361
1 FHXTMYBFAFZHZIVD 362
1 FPIKSUGDXOJFWSOC 363
1 LWSOOVFRORPCGLMI 364
1 GUCXGLZFBUGGPUVA 365
1 UFJGOANJAIIUGLWD 366
1 VGBTGAGVPQGBBKBI 367
1 HLSWOSKMMTZMKAVV 368
1 SVJWGEFUOLFJCFFI 370
1 MFKFQZQKOAXONEZL 371
1 CPBFRYBSLXUUIMLW 372
1 DZGTFWSHHGGKSYPC 373
1 WRDXHLIJRTFDAUYY 374
2 QPDHRTWUIIXJANPW 375 714
1 SXMMUGGXSKNAIJDE 376
1 ZJOLBSFDNLLLWGTT 377
1 BLCLIIQYURFLTJSW 378
2 PXUOTVPWXSXMQXBK 379 755
1 WGNMLUFQQBDHQGGK 380
1 AXUETEQSEFBADWZS 381
2 VCCJALRZEHBOYAVH 383 940
1 YKSKSOYGOZWLLBSR 385
1 EPFBYLDFUQPMVZQL 386
1 FIIEWJWZZKYFONSX 387
1 CNZMMJOFNGEXSYHH 388
1 UHENCLZPQRLUDCDF 389
1 WOMMPRKQPWXLKAGK 390
1 POPUPGTWZLKHNOCT 391
1 OKZPHBGXPUTXDYCA 392
1 MLONIKVHZXJDSUDL 393
1 QZTVWCOJUCKTVOHI 394
1 LWAJPWMGNBVJRFRZ 395
1 CUDHEIKYDXAQROVJ 396
1 LNMCTTBAFSSNEIBZ 397
1 QCHDJCXRLITTBMQP 398
1 QVQIRRENMFFYZZJG 399
1 CLBYEPPBKRXUUDDX 400
1 IWAVZJESPFHUMQJD 401
3 VJKTIFQUGWVOPUNG 402 847 933
1 HFJOEKODOQPUFUTA 403
2 VPNHBQEAHWCCKDOZ 404 614
2 CIDRWCISVIUIPERY 405 538
1 ZUYXFAHCWINUTKKW 406
1 JPDNJWAFPQSLKVPH 407
1 UFMXCOYSBUWJSLPD 409
1 IXVMTXGZATFSJWZE 410
1 ZTLAPQYQOVQHYBBY 411
1 HVMTRNETXUBCTQHS 412
1 ICCMCVOGDQEALHDY 413
1 TWNUXFBQIAYNJDVK 414
1 SNWDJQXOMDRTGTDW 415
1 YKLYWCHREBPHSJKR 416
1 OPXAGIVOLQZQWTQH 417
2 BKLWZKVKUQEDFSAU 418 690
1 JHQPUGDDXGFFXBXX 419
1 GJNXUJGVWZMZRCTA 420
1 GBDDCAHWNMWVOKZL 421
1 EWUJMXWWWTYBEVAP 422
1 WBREAUAGLZATKNVU 423
1 YHWEEBIUGQFECTZT 424
1 CWTBTFORISBVOHLK 425
1 CVOEKWWVSGVLVGDI 426
1 OZPJFDQNXNHHUSUV 427
1 DHHMITDMSJLVVWIZ 428
1 LCHNANONGPISTCNK 429
1 DVQIMTZCFQFQRVXY 430
1 QMFTOVDGQBABPAMD 431
1 WRFWSLPFNCAKLELV 432
1 URVYVRFPKTUYMSVH 433
1 TFIEKDOJVWSSXNGD 434
1 YULDOCMCHDTBSUJV 435
1 THGREZNAQAUMANRW 436
1 WCTEKQKWHHAIFVZI 438
1 XZUHWAFSBVZXEUGA 439
1 ECPJDITHUJWPJJNT 440
1 YCPVRUMFMIOAPZZV 442
2 MBEVYGPEHJIASNQC 443 692
1 REKNYCEYDFHGUAAX 444
1 GUJQCUYTQWBNDBJY 445
1 THKEAAYHNOHYQVHX 446
1 DAXFXAWZJZDZRFQO 447
1 LRUDDYAFAQJBHVTA 448
1 WZSGMNOLVKRBQDAT 449
1 JGJONGZKXXNUFFTE 450
1 OHOUVGRGOEETUELS 451
2 YTGHVKONCJJWJAKO 452 657
1 KXOXFRXVNKHOOTYL 453
2 NKKVLDYYWAIPUIYT 454 495
2 YPEWLLQADRYSCNZQ 455 710
1 LHGWQQLOPBNMTVDS 456
1 KFLGVFMYUVPFLPUA 457
1 CLMNAPTQKCLNLQLG 458
1 CSBRKBSIBWLWVNQQ 459
1 BAWMZINXFZTUFZRN 460
1 IOAIJPNPBWKLYDQT 461
1 OEQNSJMQKTOZUBYH 462
1 DZPDDXGEAFVTFYTK 463
1 JNEIARBTXJROPFCF 465
1 CSKURZMOXRTXYVIY 466
1 SSCLAAFHPZIIOOIX 467
1 YRTFIYKVYLIKMNWP 468
1 APSUGSGOIMBEHCWS 469
2 ONKEANIRRFFRKGPN 470 950
1 DWNXUNLMLENNIGOT 471
1 HWHKODJRGHUSBEZM 472
1 AAXUVIGGVLJVUROV 473
2 PVCYYYMCREIAYAOK 474 994
1 AEIYJOJTZAHPVZPD 476
1 GBMGKNWTOJKMHBOF 477
1 GZFNSTGEMEQSSOWU 478
1 EMTABTZXUUBDIKAY 479
1 LNJRNOQLDFROAKUQ 480
1 KRUCMTHAOPEAVMBE 481
1 AKPYXLGYCNCQWFOW 482
1 RKSOFFSNGSFFQXGG 483
2 WDKKIWILIXYSRAAX 484 658
1 NPMTOCHKJTVTOQLX 485
1 OVKRCYSEWYPUMHDI 486
1 KJGQMDEAUVZGEJNE 487
1 AHUUZMDCZAPPORIR 488
1 CVLYJNUNJUKKHTMW 489
1 WEFEWHMDESUGTHRQ 490
1 ONAHZOPBPZQTGNUN 491
1 SNEZZAKHMTRUMEDQ 492
1 MJJRBQFAKQNKCUVZ 493
1 RAEPSFMNZSAQACRK 494
1 KJJOIFWJHDWDAXQX 496
1 YVEDBXHDSCZYBMIL 497
1 EWQGHJHFLAPEIGFX 498
1 WKINHEYDUGGMGCEN 499
1 HVHNLZPVPLRZEJQR 500
1 UVFKIUNYZHIKYJCO 501
1 XHWLBKUUZZYOJUGA 502
1 QXKNAMTZXSBWZZAB 503
1 WQYQQBJLZOEZTMZC 504
1 ENLZTNQZOQENJRAW 505
1 KAHPRRUJRZYQMDTK 506
1 COPYDFRYYZJZEHME 507
1 MZONXXVWQECMKFBT 508
1 HGPLAGQLLKBJLLOP 509
1 RCYKYJETNRPZATBE 510
1 VFCUXZBDXMQRHZCY 511
1 OMGNNNDRQMZIMPCR 512
1 ZLCLFMAPNMIQPBAB 513
1 PTFVPUSFFXSEUDDX 514
1 QWVJMPTYTFXNHVFU 515
2 GZBBKTGWGEIYBZCC 516 797
1 GFFBAQRQZCGQTBQR 517
1 KZHGCXNKVTJUPWEZ 518
1 ERFXGLKFJZLIGXVC 519
1 EFFAWSIDFESDOPOO 520
1 WXFMERROYAHKHZGU 521
1 ADTXDKCQKWUFUYDS 522
1 MHZLIKKTOUJMMXBS 523
1 CCBMAXJEMGJXYHNA 524
1 LCBVDAWWKLMAMQEN 525
1 DDSSWEAXGREHYVSC 526
1 RXAQFIUKRSPFNZEJ 527
1 SNVGUWZYEVNCAYOV 528
1 QUYEZJNGLRNHDHFI 529
1 OPYSVWDLWTFLGYPO 530
1 DNENOASKLNWVFQSO 531
1 HERSRVSEEXMTMGTF 532
1 WKQLUCJPHAYZUUVO 533
1 CPAXKHLOXWZTPUFL 534
1 TNGPACWNIIFWOKZI 535
1 JZZINCGKUPNMRQLO 536
1 OMVEBTBMDCVZRQUN 537
1 NUQGCQFUAZLJGDZV 539
2 PFNUPCSIQIRNSICI 540 681
1 JQQOEHWRESMHFWAH 541
1 QENCRHLVXYEXVRGZ 542
1 UYEIVCHSFRSJBNFF 543
1 EABNWKLDGVVIDVVF 545
1 TXHMMBBBERYYQGLH 546
1 IYGHSTVHVNBUKBXV 547
1 EUIQQUHPSSPVCQUD 548
1 QRNPELOAIKZQSQHV 549
1 JYIIHPWOYHFWSHAY 550
1 QDXMCCWVNSKELZBI 551
1 GAJDIIWHCSANLBMF 552
1 WDZOLYYQHFGXETAK 553
1 SLAJOGNRCXYEOCPZ 554
1 ZQGMQJTICAGNAPZE 555
1 TWQQZJWWNDLPTUEI 556
1 SMDDYCWEOPBTMDBJ 557
1 BVTVAJFYYTRNCOOQ 558
1 RNSHYYAJTLFZGRRN 559
1 QAGARUSWQAZCPKBA 560
1 EPFRPDFLESJWUJSL 561
1 KWHZMUKBJXOAYKPC 562
1 OAZZJNQDRLXTWWLA 563
1 BNFKBBKDFCMXZJNA 564
1 TNFLKLZVNALLUUCR 565
1 TTXEVLBLZPOBJPRF 566
1 SVPFQSLVUVZERBGC 567
1 OOJKHVRIOOETIQYS 568
1 EREFFOXFWVSDFOEJ 569
1 WNACKQDPBBKENINH 570
2 TZWTJSFIHQEPDUJC 571 653
1 OUGPFEDMZAZTTOCE 572
1 SVOFPYUBAFLASTHV 573
1 WLJDPDZYGTQZLOGU 574
1 KCFOMSEFCFRBFPFZ 575
1 PJZJMJWPLKUODANR 576
1 XKBEWQFKWIXTHAPS 578
1 CUGFADEOMPISUUML 579
1 LVEMHOUCUTJCPANV 580
1 XQEPVEZWRXUCUMUD 581
1 ZGHWGVNFYWZVHTIP 582
1 YMABHPYHVCTOQPLT 583
1 EYHWJRDTASUQRXIK 585
2 LOAQSQUQPKLJRGJI 586 608
1 VGMLWNVBYBVCBBON 587
1 ESYZCBNVTOGTQCXQ 588
1 XBHDCVDHLSHMZIVP 590
1 OHAFENELCSVECLWB 591
1 BLRJFUJOPDBNUJYT 592
1 BQBDEGUTRCDUMYRT 593
2 BPGKDOZMWFTKOXTP 594 876
1 JQMFRIMNXCYBVYWS 595
1 NXVJOWBGJDJTPBEB 596
1 DPQAILBGPRGDXNYZ 597
1 DARXIZKJYWKMEJXD 598
1 PDMWGTUNHABIORLS 600
1 QEBFJOENPOPNPXFL 601
1 GLWJAWABKBTMAHAZ 602
1 AROOQJCTAMDHMYRY 603
1 PKMFXJYPLUBHEICA 604
1 DXTZILJYSHUIBCVZ 605
1 WMPILPNONSNXBXPK 606
1 SASZJBGMLYLSDPLQ 607
1 BRPSCXINZDZBKHVN 609
1 JREOYHJDPEHZKCCL 610
1 OLKSLFBEMSWVQJJM 611
1 XRNCGPWJOGHXPRZU 612
1 TFIKAVQMPVWOMDQK 613
1 IQHVHIBKLREWQBSW 615
1 ZFXGYMLUKCUBLVRF 616
1 ZYBUGOTRERHADNCE 617
1 WNNXYAXGBAVAGITT 618
1 VBHJMRZUWIYAANMY 619
1 RCYTKAHUQXDSBZYE 620
1 ITHEIYUWJMRJTAFX 621
1 KFOFCGBQLWUPJCIH 622
1 SRLHUMIWYHSYLOAB 623
1 EDGGTKDSIUHKHQBQ 624
1 JWEGHCXGACBMBDGJ 625
1 YMKBIVDBKILQLQBT 626
1 LDPHRYQCKYBSNSCO 627
1 CQIZXHPMYHMVJZRC 628
1 ETGKUIWXJLJUECOH 629
1 EQIYDZNATXUWMGZI 630
2 ERHCDVOGTVZYRDXA 631 990
1 ETLKOFGAFXYGOZJF 632
1 EVFMGBOMJXMWVOXM 633
1 HNHCLDYASTGWXTJY 634
1 SUHYIEDKLEOVFVBG 635
1 OCVSWMEGONHCXKLT 636
2 KDAPWUWBUKOJIQPH 638 981
1 DNUVACIKCCNYVJUF 639
1 DLLSNBHWIGAHPBLD 640
1 RZNLPOWHUTSFZCKJ 641
1 GURGAAVKYMXGGJWA 642
1 DYSKBUCHELFPNSHY 643
1 CCDRUGOTNARVZKUC 644
1 JYEBQLNIHUSFJPJG 645
1 ZMJUVRKMBYRJLJDN 646
1 INQRILGKJZOZSLXA 647
1 DFVYSNJWPRWEINVE 648
1 VFIUPTFWLXRHHSRY 649
1 WTXRJPWJJDJVKNNA 650
1 LAQDCXJWEDYYJQMZ 651
1 DFTBMZNQZLVWAEPE 652
1 CCVBKRWCYDOBSVYH 654
1 OVGFAYOZDSNKXZZY 655
1 FPPDRPJQDYMZPQXZ 656
1 HQQMJJCXMRJVXGJS 659
1 MHDQBIBTRUOTFOJE 660
1 UZZOYRBVFLODLWTV 661
1 RDHWATXZVEIVTGIL 662
1 CXTMBRUBJVMJFNSF 663
1 IMCRXTSJOXTUXCIL 664
1 YYHULRKFEMSJUPGG 665
1 KGMVPTRUIGBRBABU 666
1 PXHQFPMQKAMRXESA 667
1 LCJNMDUKDZBPQKAE 668
1 VTKUCFXODTZAAVIK 669
1 HOIMXIUWMDKJDHBE 670
1 SPJZJIKIIEFDOPSA 671
1 WQGNERAEOVIENYVV 672
1 VDCORSJYOJBIXWLJ 673
1 KVIBRCQLOJTMVJGR 674
1 YKEXBRLMLNBPSYUP 675
1 PEQYTCKBPVVTKZBV 677
1 NTGFRJKERAOCJQMD 678
1 NKLDBBKAOSFCPUTG 679
1 AWJHCKNSVCHVNSSK 680
1 XJHOHLSUMGOTQMBX 682
1 OFJEDMGHFKDBSLEK 683
1 JEGKBLNXYIIKRRBP 684
1 PZOPSKQOSDDJNTZQ 685
1 MCDSMUHCUZZLSKPD 686
1 FZBRFLUZBXFVGFWB 687
1 IBEXTOSXKFEATKKL 688
1 YSVMXRXKCNTCIXXB 689
1 DHPRELWRDUSQSELH 691
1 HFHXKNPWRBQQDFKL 693
1 QPBMMVRDJAUHBPYJ 694
1 RTJPDHBCDNWLCJIZ 695
1 NYRIFMGSCPVQXOSS 696
1 MEHIGCDKCDAABCPW 697
1 HMJKABBTSVDKITWP 698
1 CJXVOMLUAHXZQZGA 699
1 KTALBURPZBQKKDTZ 700
1 DTVQBPAESRNCBADU 701
1 EUVOSCYSRWPBDBNB 702
1 DCOMAAGNYTMINPUD 703
